,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
365,Zombieland,(2009),88 min,7.6,73        ,"551,736",$75.59M
366,"O Brother, Where Art Thou?",(2000),107 min,7.7,69        ,"302,123",$45.51M
367,Straight Outta Compton,(2015),147 min,7.8,72        ,"192,824",$161.20M
368,Kill Bill: Vol. 2,(2004),137 min,8.0,83        ,"726,267",$66.21M
369,Grave of the Fireflies,(1988),89 min,8.5,94        ,"259,735",-
370,Aladdin,(1992),90 min,8.0,86        ,"393,245",$217.35M
371,Mr. Nobody,(2009),141 min,7.8,63        ,"227,298",$0.00M
372,Before Sunrise,(1995),101 min,8.1,77        ,"292,785",$5.54M
373,Misery,(1990),107 min,7.8,75        ,"199,719",$61.28M
374,Serenity,(2005),119 min,7.8,74        ,"291,527",$25.51M
375,Indiana Jones and the Last Crusade,(1989),127 min,8.2,65        ,"728,498",$197.17M
376,Y tu mamá también,(2001),106 min,7.6,88        ,"120,611",$13.62M
377,Apollo 13,(I) (1995),140 min,7.6,77        ,"285,542",$173.84M
378,The Graduate,(1967),106 min,8.0,83        ,"266,373",$104.95M
379,Princess Mononoke,(1997),134 min,8.4,76        ,"373,686",$2.38M
380,Once Were Warriors,(1994),102 min,7.9,77        ,"33,353",$2.20M
381,A Few Good Men,(1992),138 min,7.7,62        ,"251,850",$141.34M
382,Million Dollar Baby,(2004),132 min,8.1,86        ,"666,619",$100.49M
383,Slumdog Millionaire,(2008),120 min,8.0,84        ,"826,010",$141.32M
384,Moon,(2009),97 min,7.8,67        ,"349,803",$5.01M
385,The King's Speech,(2010),118 min,8.0,88        ,"663,821",$138.80M
386,The Fault in Our Stars,(2014),126 min,7.7,69        ,"363,358",$124.87M
387,Mulan,(1998),88 min,7.7,71        ,"274,310",$120.62M
388,The Boondock Saints,(1999),108 min,7.7,44        ,"235,101",$0.03M
389,In the Mood for Love,(2000),98 min,8.1,85        ,"141,305",$2.73M
390,Gilda,(1946),110 min,7.6,-,"31,458",-
391,Isle of Dogs,(2018),101 min,7.8,82        ,"158,589",$32.02M
392,Hunt for the Wilderpeople,(2016),101 min,7.9,81        ,"124,017",$5.20M
393,Vertigo,(1958),128 min,8.3,100        ,"388,902",$3.20M
394,Monty Python and the Holy Grail,(1975),91 min,8.2,91        ,"525,035",$1.23M
395,Metropolis,(1927),153 min,8.3,98        ,"169,344",$1.24M
396,The Boy in the Striped Pajamas,(2008),94 min,7.8,55        ,"207,498",$9.03M
397,JFK,(1991),189 min,8.0,72        ,"151,234",$70.41M
398,District 9,(2009),112 min,7.9,81        ,"663,231",$115.65M
399,The Sting,(1973),129 min,8.3,83        ,"254,073",$159.60M
400,Lion,(2016),118 min,8.0,69        ,"228,721",$51.74M
401,When Harry Met Sally...,(1989),95 min,7.6,76        ,"209,871",$92.82M
402,The Bourne Ultimatum,(2007),115 min,8.0,85        ,"622,159",$227.47M
403,Sardar Udham,(2021),164 min,8.7,-,"34,915",-
404,Deliverance,(1972),109 min,7.7,80        ,"105,061",$7.06M
405,Boyhood,(I) (2014),165 min,7.9,100        ,"347,658",$25.38M
406,Blue Velvet,(1986),120 min,7.7,76        ,"192,171",$8.55M
407,Close Encounters of the Third Kind,(1977),138 min,7.6,90        ,"195,528",$132.09M
408,Paddington 2,(2017),103 min,7.8,88        ,"70,853",$40.44M
409,Empire of the Sun,(1987),153 min,7.7,62        ,"122,210",$22.24M
410,Chinatown,(1974),130 min,8.2,92        ,"314,597",$8.49M
411,Scent of a Woman,(1992),156 min,8.0,59        ,"283,938",$63.90M
412,Wreck-It Ralph,(2012),101 min,7.7,72        ,"403,965",$189.42M
413,Back to the Future Part II,(1989),108 min,7.8,57        ,"510,331",$118.50M
414,Gattaca,(1997),106 min,7.8,64        ,"294,012",$12.34M
415,Das Boot,(1981),149 min,8.3,86        ,"244,038",$11.49M
416,Raging Bull,(1980),129 min,8.2,89        ,"340,929",$23.38M
417,The Fighter,(I) (2010),116 min,7.8,79        ,"355,737",$93.62M
418,Boyz n the Hood,(1991),112 min,7.8,76        ,"135,561",$57.50M
419,Beauty and the Beast,(1991),84 min,8.0,95        ,"433,765",$218.97M
420,Klaus,(2019),96 min,8.2,65        ,"136,711",-
421,The Lego Movie,(2014),100 min,7.7,83        ,"340,358",$257.76M
422,The Secret in Their Eyes,(2009),129 min,8.2,80        ,"203,834",$6.39M
423,Star Trek Into Darkness,(2013),132 min,7.7,72        ,"476,111",$228.78M
424,North by Northwest,(1959),136 min,8.3,98        ,"317,405",$13.28M
425,The Magnificent Seven,(1960),128 min,7.7,74        ,"92,640",$4.91M
426,Dark City,(1998),100 min,7.6,66        ,"195,874",$14.38M
427,Walk the Line,(2005),136 min,7.8,72        ,"244,464",$119.52M
428,Toy Story 3,(2010),103 min,8.2,92        ,"800,002",$415.00M
429,Captain Phillips,(2013),134 min,7.8,82        ,"444,479",$107.10M
430,Planet of the Apes,(1968),112 min,8.0,79        ,"174,765",$33.40M
431,"Blood In, Blood Out",(1993),180 min,8.0,47        ,"30,528",$4.50M
432,Who Framed Roger Rabbit,(1988),104 min,7.7,83        ,"194,057",$156.45M
433,To Kill a Mockingbird,(1962),129 min,8.2,88        ,"308,067",-
434,Barry Lyndon,(1975),185 min,8.1,89        ,"161,339",-
435,First Blood,(1982),93 min,7.7,61        ,"242,333",$47.21M
436,I Saw the Devil,(2010),144 min,7.8,67        ,"123,190",$0.13M
437,Ben-Hur,(1959),212 min,8.1,90        ,"231,945",$74.70M
438,Breakfast at Tiffany's,(1961),115 min,7.6,76        ,"175,146",-
439,Dangal,(2016),161 min,8.4,-,"176,911",$12.39M
440,Billy Elliot,(2000),110 min,7.7,74        ,"132,217",$22.00M
441,Match Point,(2005),124 min,7.6,72        ,"214,049",$23.09M
442,The Blues Brothers,(1980),133 min,7.9,60        ,"193,342",$57.23M
443,The Road Warrior,(1981),96 min,7.6,77        ,"175,287",$12.47M
444,Goldfinger,(1964),110 min,7.7,87        ,"184,661",$51.08M
445,End of Watch,(2012),109 min,7.6,68        ,"240,057",$41.00M
446,Cinema Paradiso,(1988),155 min,8.5,80        ,"250,313",$11.99M
447,Coraline,(2009),100 min,7.7,80        ,"214,606",$75.29M
448,Road to Perdition,(2002),117 min,7.7,72        ,"260,454",$104.45M
449,The Naked Gun: From the Files of Police Squad!,(1988),85 min,7.6,76        ,"163,254",$78.76M
450,Roma,(2018),135 min,7.7,96        ,"151,771",-
451,Brazil,(1985),132 min,7.9,84        ,"196,910",$9.93M
452,Donnie Brasco,(1997),127 min,7.7,76        ,"295,669",$41.91M
453,Doctor Zhivago,(1965),197 min,8.0,69        ,"74,416",$111.72M
454,My Fair Lady,(1964),170 min,7.8,95        ,"92,816",$72.00M
455,The Untouchables,(1987),119 min,7.9,79        ,"299,028",$76.27M
456,Adaptation.,(2002),115 min,7.7,83        ,"188,073",$22.25M
457,My Neighbor Totoro,(1988),86 min,8.2,86        ,"319,458",$1.11M
458,3:10 to Yuma,(2007),122 min,7.7,76        ,"301,886",$53.61M
459,Naked,(1993),131 min,7.8,85        ,"38,012",$1.77M
460,Being John Malkovich,(1999),113 min,7.7,90        ,"326,742",$22.86M
461,Mississippi Burning,(1988),128 min,7.8,65        ,"96,829",$34.60M
462,The Nightmare Before Christmas,(1993),76 min,8.0,82        ,"323,127",$75.08M
463,Awakenings,(1990),121 min,7.8,74        ,"135,741",$52.10M
464,The Raid 2,(2014),150 min,8.0,71        ,"120,107",$2.63M
465,A Silent Voice: The Movie,(2016),130 min,8.2,78        ,"69,664",-
466,Gandhi,(1982),191 min,8.0,79        ,"225,290",$52.77M
467,A Christmas Story,(1983),93 min,7.9,77        ,"145,426",$20.61M
468,The Jungle Book,(1967),78 min,7.6,65        ,"175,835",$141.84M
469,Butch Cassidy and the Sundance Kid,(1969),110 min,8.0,66        ,"211,246",$102.31M
470,Carlito's Way,(1993),144 min,7.9,65        ,"211,590",$36.95M
471,Chungking Express,(1994),102 min,8.1,78        ,"74,738",$0.60M
472,Network,(1976),121 min,8.1,83        ,"154,467",-
473,Toy Story 2,(1999),92 min,7.9,88        ,"557,538",$245.85M
474,This Is Spinal Tap,(1984),82 min,7.9,92        ,"136,514",$4.74M
475,Bonnie and Clyde,(1967),111 min,7.8,86        ,"109,622",-
476,Stalker,(1979),162 min,8.1,-,"129,199",$0.23M
477,The Birds,(1963),119 min,7.7,90        ,"182,677",$11.40M
478,The Wrestler,(2008),109 min,7.9,80        ,"299,590",$26.24M
479,Kelly's Heroes,(1970),144 min,7.6,50        ,"48,168",$1.38M
480,The Artist,(I) (2011),100 min,7.9,89        ,"237,843",$44.67M
481,Dog Day Afternoon,(1975),125 min,8.0,86        ,"249,181",$50.00M
482,Spartacus,(1960),197 min,7.9,87        ,"131,623",$30.00M
483,The French Connection,(1971),104 min,7.7,94        ,"118,169",$15.63M
484,Miracle in Cell No. 7,(2019),132 min,8.2,-,"44,748",-
485,Rosemary's Baby,(1968),137 min,8.0,96        ,"207,550",-
486,"Crouching Tiger, Hidden Dragon",(2000),120 min,7.8,94        ,"263,436",$128.08M
487,The Color Purple,(1985),154 min,7.8,78        ,"83,877",$98.47M
488,The Apartment,(1960),125 min,8.3,94        ,"175,353",$18.60M
489,The Seventh Seal,(1957),96 min,8.2,88        ,"178,722",-
490,"Paris, Texas",(1984),145 min,8.1,78        ,"101,866",$2.18M
491,Perfect Blue,(1997),81 min,8.0,-,"68,953",$0.78M
492,Life of Brian,(1979),94 min,8.1,77        ,"387,564",$20.05M
493,Blood Simple,(1984),99 min,7.6,83        ,"93,783",$2.15M
494,A Fistful of Dollars,(1964),99 min,8.0,65        ,"210,157",$14.50M
495,A Separation,(2011),123 min,8.3,95        ,"235,870",$7.10M
496,The Skin I Live In,(2011),120 min,7.6,70        ,"147,709",$3.19M
497,A Bronx Tale,(1993),121 min,7.8,80        ,"136,353",$17.27M
498,Midnight Cowboy,(1969),113 min,7.8,79        ,"108,036",$44.79M
499,Dogville,(2003),178 min,8.0,60        ,"145,149",$1.53M
500,Togo,(2019),113 min,8.0,69        ,"45,247",-
501,Battle Royale,(2000),114 min,7.6,81        ,"178,725",-
502,The Conversation,(1974),113 min,7.8,85        ,"107,779",$4.42M
503,Let the Right One In,(2008),114 min,7.9,82        ,"212,604",$2.12M
504,The Fall,(2006),117 min,7.8,64        ,"110,645",$2.28M
505,The Others,(2001),104 min,7.6,74        ,"355,240",$96.52M
506,Eastern Promises,(2007),100 min,7.6,82        ,"237,486",$17.11M
507,The Great Dictator,(1940),125 min,8.4,-,"216,805",$0.29M
508,Akira,(1988),124 min,8.0,67        ,"177,860",$0.55M
509,Ordinary People,(1980),124 min,7.7,86        ,"50,376",$54.80M
510,Vikram Vedha,(2017),147 min,8.3,-,"35,548",-
511,The Ten Commandments,(1956),220 min,7.9,-,"68,195",$93.74M
512,For a Few Dollars More,(1965),132 min,8.2,74        ,"247,700",$15.00M
513,The Elephant Man,(1980),124 min,8.1,78        ,"233,819",-
514,Kramer vs. Kramer,(1979),105 min,7.8,77        ,"141,204",$106.26M
515,Fallen Angels,(1995),99 min,7.7,71        ,"35,033",-
516,Serpico,(1973),130 min,7.7,87        ,"118,801",$29.80M
517,La Haine,(1995),98 min,8.1,-,"164,238",$0.31M
518,The Remains of the Day,(1993),134 min,7.8,86        ,"71,598",$22.95M
519,Dirty Harry,(1971),102 min,7.7,87        ,"151,595",$35.90M
520,After Hours,(I) (1985),97 min,7.7,90        ,"66,381",$10.60M
521,Seven Pounds,(2008),123 min,7.6,36        ,"297,072",$69.95M
522,In the Name of the Father,(1993),133 min,8.1,84        ,"168,674",$25.01M
523,Before Sunset,(2004),80 min,8.1,90        ,"252,614",$5.82M
524,Fanny and Alexander,(1982),188 min,8.1,100        ,"62,354",$4.97M
525,All the President's Men,(1976),138 min,8.0,84        ,"111,492",$70.60M
526,Searching,(III) (2018),102 min,7.6,71        ,"156,104",$26.02M
527,Witness for the Prosecution,(1957),116 min,8.4,-,"119,590",$8.18M
528,Lost Highway,(1997),134 min,7.6,52        ,"138,250",$3.80M
529,The Holy Mountain,(1973),114 min,7.9,76        ,"41,197",$0.06M
530,This Is England,(2006),101 min,7.7,86        ,"120,084",$0.33M
531,Wolfwalkers,(2020),103 min,8.0,87        ,"28,292",-
532,The Man from Earth,(2007),87 min,7.9,-,"182,964",-
533,Rope,(1948),80 min,8.0,73        ,"138,720",-
534,Glory,(1989),122 min,7.8,78        ,"131,531",$26.83M
535,Hara-Kiri,(1962),133 min,8.6,85        ,"51,639",-
536,Hachi: A Dog's Tale,(2009),93 min,8.1,-,"272,131",-
537,Wild Tales,(2014),122 min,8.1,77        ,"190,349",$3.11M
538,M,(1931),99 min,8.3,-,"153,063",$0.03M
539,Sunset Blvd.,(1950),110 min,8.4,-,"214,538",-
540,Ip Man,(2008),106 min,8.0,59        ,"219,421",-
541,Shershaah,(2021),135 min,8.7,-,"112,155",-
542,Ed Wood,(1994),127 min,7.8,70        ,"172,357",$5.89M
543,Charade,(1963),113 min,7.9,83        ,"74,484",$13.47M
544,Do the Right Thing,(1989),120 min,8.0,93        ,"98,562",$27.55M
545,How to Train Your Dragon 2,(2014),102 min,7.8,77        ,"322,237",$177.00M
546,The Best Offer,(2013),131 min,7.8,49        ,"115,264",$0.09M
547,Annie Hall,(1977),93 min,8.0,92        ,"260,424",$39.20M
548,The Celebration,(1998),105 min,8.1,82        ,"84,628",$1.65M
549,Rebecca,(1940),130 min,8.1,86        ,"133,122",$4.36M
550,Baahubali: The Beginning,(2015),159 min,8.0,-,"111,001",$6.74M
551,Cinderella Man,(2005),144 min,8.0,69        ,"183,467",$61.65M
552,Ponyo,(2008),101 min,7.7,86        ,"136,419",$15.09M
553,Perfect Strangers,(2016),96 min,7.8,-,"62,429",-
554,The Name of the Rose,(1986),130 min,7.7,54        ,"106,440",$7.15M
555,Stagecoach,(1939),96 min,7.9,93        ,"47,276",-
556,Fiddler on the Roof,(1971),181 min,8.0,67        ,"42,411",$80.50M
557,Before Midnight,(2013),109 min,7.9,94        ,"151,456",$8.11M
558,Star Trek II: The Wrath of Khan,(1982),113 min,7.7,67        ,"118,181",$78.91M
559,Once,(I) (2007),86 min,7.8,88        ,"114,684",$9.44M
560,Cool Hand Luke,(1967),127 min,8.1,92        ,"172,363",$16.22M
561,The Insider,(1999),157 min,7.8,84        ,"167,687",$28.97M
562,Amores perros,(2000),154 min,8.1,83        ,"234,884",$5.38M
563,Only the Brave,(2017),134 min,7.6,72        ,"65,127",$18.34M
564,Evil,(2003),113 min,7.8,61        ,"37,485",$0.02M
565,Paths of Glory,(1957),88 min,8.4,90        ,"190,336",-
566,On the Waterfront,(1954),108 min,8.1,91        ,"150,623",$9.60M
567,Sling Blade,(1996),135 min,8.0,84        ,"92,204",$24.48M
568,Dial M for Murder,(1954),105 min,8.2,75        ,"169,711",$0.01M
569,All About Eve,(1950),138 min,8.2,98        ,"127,856",$0.01M
570,Papillon,(1973),151 min,8.0,58        ,"127,673",$53.27M
571,Soorarai Pottru,(2020),153 min,9.1,-,"106,380",-
572,Tumbbad,(2018),104 min,8.3,-,"39,413",-
573,Sing Street,(2016),106 min,7.9,79        ,"90,839",$3.24M
574,Evil Dead II,(1987),84 min,7.7,72        ,"157,512",$5.92M
575,Nausicaä of the Valley of the Wind,(1984),117 min,8.1,86        ,"163,483",$0.50M
576,Ghost in the Shell,(1995),83 min,8.0,76        ,"138,159",$0.52M
577,The Longest Day,(1962),178 min,7.8,75        ,"54,532",$39.10M
578,Enter the Dragon,(1973),102 min,7.7,83        ,"102,158",$25.00M
579,Ran,(1985),162 min,8.2,96        ,"121,474",$4.14M
580,Lucky Number Slevin,(2006),110 min,7.7,53        ,"308,200",$22.49M
581,A Streetcar Named Desire,(1951),122 min,8.0,97        ,"105,387",$8.00M
582,Days of Heaven,(1978),94 min,7.8,93        ,"56,540",-
583,I Am Sam,(2001),132 min,7.6,28        ,"148,047",$40.31M
584,Solaris,(1972),167 min,8.0,90        ,"88,274",-
585,Kiki's Delivery Service,(1989),103 min,7.9,83        ,"136,662",-
586,What Ever Happened to Baby Jane?,(1962),134 min,8.1,75        ,"53,981",$4.05M
587,Hamlet,(1996),242 min,7.7,-,"37,487",$4.41M
588,Andrei Rublev,(1966),205 min,8.1,-,"52,009",$0.10M
589,Clerks,(1994),92 min,7.7,70        ,"218,287",$3.15M
590,The King of Comedy,(1982),109 min,7.8,73        ,"98,507",$2.50M
591,Sabrina,(1954),113 min,7.6,72        ,"63,146",-
592,Cabaret,(1972),124 min,7.8,80        ,"52,905",$42.77M
593,The Best Years of Our Lives,(1946),170 min,8.1,93        ,"61,856",$23.65M
594,High Noon,(1952),85 min,8.0,89        ,"102,036",$9.45M
595,Rebel Without a Cause,(1955),111 min,7.7,89        ,"88,219",-
596,Neon Genesis Evangelion: The End of Evangelion,(1997),87 min,8.1,-,"49,881",-
597,The Bridges of Madison County,(1995),135 min,7.6,69        ,"78,653",$71.52M
598,Persona,(1966),83 min,8.1,86        ,"113,229",-
599,Andhadhun,(2018),139 min,8.2,-,"86,529",$1.37M
600,Red River,(1948),133 min,7.8,-,"30,335",-
601,Miller's Crossing,(1990),115 min,7.7,66        ,"132,449",$5.08M
602,The Outlaw Josey Wales,(1976),135 min,7.8,69        ,"71,290",$31.80M
603,Like Stars on Earth,(2007),165 min,8.4,-,"184,592",$1.22M
604,50/50,(2011),100 min,7.6,72        ,"325,087",$35.01M
605,21 Grams,(2003),124 min,7.6,70        ,"232,713",$16.29M
606,Malcolm X,(1992),202 min,7.7,73        ,"91,881",$48.17M
607,Hero,(2002),120 min,7.9,85        ,"178,927",$53.71M
608,"Spring, Summer, Fall, Winter... and Spring",(2003),103 min,8.0,85        ,"81,352",$2.38M
609,8½,(1963),138 min,8.0,91        ,"115,082",$0.05M
610,Uri: The Surgical Strike,(2019),138 min,8.3,-,"54,825",$4.19M
611,Badlands,(1973),94 min,7.8,93        ,"70,949",-
612,Barton Fink,(1991),116 min,7.7,69        ,"118,604",$6.15M
613,Mommy,(I) (2014),139 min,8.1,74        ,"55,019",$3.49M
614,The Third Man,(1949),93 min,8.1,97        ,"167,545",$0.45M
615,Dawn of the Dead,(1978),127 min,7.9,71        ,"117,561",$5.10M
616,Open Your Eyes,(1997),119 min,7.7,-,"68,076",$0.37M
617,The Right Stuff,(1983),193 min,7.8,91        ,"60,126",$21.50M
618,Glengarry Glen Ross,(1992),100 min,7.7,82        ,"102,303",$10.73M
619,Hotel Rwanda,(2004),121 min,8.1,79        ,"347,439",$23.53M
620,La Dolce Vita,(1960),174 min,8.0,95        ,"71,034",$19.52M
621,Mother,(2009),129 min,7.8,79        ,"60,416",$0.55M
622,Kung Fu Hustle,(2004),99 min,7.8,78        ,"134,949",$17.11M
623,The Iron Giant,(1999),86 min,8.0,85        ,"184,319",$23.16M
624,The Last Emperor,(1987),163 min,7.7,76        ,"100,039",$43.98M
625,Letters from Iwo Jima,(2006),141 min,7.9,89        ,"159,769",$13.76M
626,The Wind Rises,(2013),126 min,7.8,83        ,"81,056",$5.21M
627,A Man Called Ove,(2015),116 min,7.7,70        ,"52,290",$3.36M
628,Run Lola Run,(1998),80 min,7.7,77        ,"195,444",$7.27M
629,Short Term 12,(2013),96 min,8.0,82        ,"86,088",$1.01M
630,The 400 Blows,(1959),99 min,8.1,-,"113,580",-
631,"South Park: Bigger, Longer & Uncut",(1999),81 min,7.7,73        ,"200,521",$52.04M
632,Rashomon,(1950),88 min,8.2,98        ,"162,870",$0.10M
633,The Killing,(1956),84 min,8.0,91        ,"87,145",-
634,The Last King of Scotland,(2006),123 min,7.7,74        ,"182,789",$17.61M
635,All That Jazz,(1979),123 min,7.9,72        ,"30,569",$37.82M
636,Gangs of Wasseypur,(2012),321 min,8.2,89        ,"92,040",-
637,The Night of the Hunter,(1955),92 min,8.0,99        ,"86,899",$0.65M
638,Dancer in the Dark,(2000),140 min,8.0,61        ,"107,335",$4.18M
639,Ray,(I) (2004),152 min,7.7,73        ,"144,652",$75.33M
640,Baahubali 2: The Conclusion,(2017),167 min,8.2,-,"83,870",$20.19M
641,25th Hour,(2002),135 min,7.6,68        ,"176,089",$13.06M
642,Patton,(1970),172 min,7.9,91        ,"99,881",$61.70M
643,Where Eagles Dare,(1968),158 min,7.6,63        ,"56,717",-
644,Finding Neverland,(2004),106 min,7.6,67        ,"203,612",$51.68M
645,Castle in the Sky,(1986),125 min,8.0,78        ,"160,386",-
646,Nosferatu,(1922),94 min,7.9,-,"93,825",-
647,Roman Holiday,(1953),118 min,8.0,78        ,"135,063",-
648,Black Book,(2006),145 min,7.7,71        ,"75,568",$4.40M
649,Victoria,(II) (2015),138 min,7.6,77        ,"57,023",-
650,Three Colors: Blue,(1993),94 min,7.9,85        ,"98,284",$1.32M
651,Happiness,(1998),134 min,7.7,81        ,"69,064",$2.81M
652,The Body,(2012),112 min,7.6,-,"63,244",-
653,Beasts of No Nation,(2015),137 min,7.7,79        ,"79,068",$0.08M
654,Giant,(1956),201 min,7.6,84        ,"37,576",-
655,Wings of Desire,(1987),128 min,8.0,79        ,"69,024",$3.33M
656,Modern Times,(1936),87 min,8.5,96        ,"233,102",$0.16M
657,The Searchers,(1956),119 min,7.9,94        ,"86,432",-
658,Gaslight,(1944),114 min,7.8,-,"27,322",-
659,The Maltese Falcon,(1941),100 min,8.0,97        ,"155,199",$2.11M
660,PK,(2014),153 min,8.1,-,"175,440",$10.62M
661,The Lion in Winter,(1968),134 min,7.9,-,"30,854",$22.28M
662,The Man Who Shot Liberty Valance,(1962),123 min,8.1,94        ,"73,743",-
663,The Dirty Dozen,(1967),150 min,7.7,73        ,"70,983",$45.30M
664,Rio Bravo,(1959),141 min,8.0,93        ,"60,345",$12.54M
665,Double Indemnity,(1944),107 min,8.3,95        ,"152,192",$5.72M
666,Night of the Living Dead,(1968),96 min,7.9,89        ,"124,333",$0.09M
667,October Sky,(1999),108 min,7.8,71        ,"88,233",$32.48M
668,Breaking the Waves,(1996),159 min,7.8,76        ,"65,448",$4.04M
669,My Left Foot,(1989),103 min,7.9,97        ,"72,362",$14.74M
670,The Station Agent,(2003),89 min,7.6,81        ,"69,573",$5.74M
671,Me and Earl and the Dying Girl,(2015),105 min,7.7,74        ,"128,715",$6.74M
672,Shoplifters,(2018),121 min,7.9,93        ,"71,885",$3.31M
673,The Man from Nowhere,(2010),119 min,7.8,-,"67,521",$0.01M
674,The Thin Man,(1934),91 min,8.0,86        ,"28,747",-
675,Pink Floyd: The Wall,(1982),95 min,8.0,47        ,"79,384",$22.24M
676,Being There,(1979),130 min,8.0,83        ,"70,828",$30.18M
677,It Happened One Night,(1934),105 min,8.1,87        ,"100,551",$4.36M
678,Loving Vincent,(2017),94 min,7.8,62        ,"55,636",$6.74M
679,Z,(1969),127 min,8.2,86        ,"27,184",$0.08M
680,God's Own Country,(2017),104 min,7.7,85        ,"28,996",$0.34M
681,A Little Princess,(1995),97 min,7.7,83        ,"33,910",$10.02M
682,Detachment,(2011),98 min,7.7,52        ,"82,226",$0.07M
683,Breathless,(1960),90 min,7.8,-,"78,628",$0.34M
684,The Killing Fields,(1984),141 min,7.8,76        ,"54,497",$34.70M
685,Flipped,(I) (2010),90 min,7.7,45        ,"87,764",$1.75M
686,Drishyam 2,(2021),152 min,8.6,-,"33,377",-
687,Paprika,(2006),90 min,7.7,81        ,"78,848",$0.88M
688,The Quiet Man,(1952),129 min,7.8,85        ,"37,388",$10.55M
689,King Kong,(1933),100 min,7.9,90        ,"83,539",$10.00M
690,Fantastic Planet,(1973),72 min,7.8,73        ,"29,225",$0.19M
691,Cowboy Bebop: The Movie,(2001),115 min,7.9,61        ,"47,012",$1.00M
692,Mary and Max,(2009),92 min,8.1,-,"172,901",-
693,Mysterious Skin,(2004),105 min,7.6,73        ,"68,164",$0.70M
694,Nebraska,(2013),115 min,7.7,87        ,"116,297",$17.65M
695,East of Eden,(1955),118 min,7.9,72        ,"44,335",-
696,Notorious,(1946),102 min,8.0,100        ,"98,664",$10.46M
697,The Day of the Jackal,(1973),143 min,7.8,80        ,"39,904",$16.06M
698,The Day the Earth Stood Still,(1951),92 min,7.7,-,"80,402",-
699,Belle de Jour,(1967),100 min,7.7,-,"43,082",$0.03M
700,The Straight Story,(1999),112 min,8.0,86        ,"88,224",$6.20M
701,The Wild Bunch,(1969),135 min,7.9,97        ,"82,551",$12.06M
702,Whisper of the Heart,(1995),111 min,7.9,75        ,"58,773",-
703,Judgment at Nuremberg,(1961),179 min,8.2,60        ,"74,950",-
704,Cat on a Hot Tin Roof,(1958),108 min,8.0,84        ,"48,057",$17.57M
705,Bicycle Thieves,(1948),89 min,8.3,-,"158,356",$0.33M
706,Manhattan,(1979),96 min,7.9,83        ,"137,747",$45.70M
707,The Red Shoes,(1948),135 min,8.1,-,"33,739",$10.90M
708,Harold and Maude,(1971),91 min,7.9,62        ,"75,780",-
709,Three Colors: Red,(1994),99 min,8.1,100        ,"100,089",$4.04M
710,Freaks,(1932),64 min,7.9,80        ,"45,003",-
711,Infernal Affairs,(2002),101 min,8.0,75        ,"122,448",$0.17M
712,"Duck, You Sucker!",(1971),138 min,7.6,77        ,"33,673",$0.70M
713,Pride,(I) (2014),119 min,7.8,79        ,"55,057",-
714,Who's Afraid of Virginia Woolf?,(1966),131 min,8.0,75        ,"73,567",-
715,Withnail & I,(1987),107 min,7.6,84        ,"42,902",$1.54M
716,Talk to Her,(2002),112 min,7.9,86        ,"109,904",$9.28M
717,Amour,(2012),127 min,7.9,94        ,"97,854",$6.74M
718,Ikiru,(1952),143 min,8.3,-,"75,313",$0.06M
719,Happy Together,(1997),96 min,7.7,70        ,"27,010",$0.19M
720,Porco Rosso,(1992),94 min,7.7,83        ,"85,267",-
721,Hannah and Her Sisters,(1986),107 min,7.9,90        ,"70,258",$40.08M
722,The Grapes of Wrath,(1940),129 min,8.1,96        ,"90,225",$0.06M
723,Zulu,(1964),138 min,7.7,77        ,"38,302",-
724,Kubo and the Two Strings,(2016),101 min,7.8,84        ,"125,291",$48.02M
725,The Chaser,(2008),125 min,7.8,64        ,"63,707",-
726,Tokyo Godfathers,(2003),92 min,7.8,73        ,"37,328",$0.13M
727,Philomena,(2013),98 min,7.6,77        ,"98,262",$37.71M
728,Strangers on a Train,(1951),101 min,8.0,88        ,"130,928",$7.63M
729,The Verdict,(1982),129 min,7.7,77        ,"38,808",$54.00M
730,The Big Sleep,(1946),114 min,7.9,-,"83,715",$6.54M
731,All About My Mother,(1999),101 min,7.9,87        ,"94,227",$8.26M
732,Ayla: The Daughter of War,(2017),125 min,8.4,-,"37,894",-
733,Children of Heaven,(1997),89 min,8.3,77        ,"71,913",$0.93M
734,Secrets & Lies,(1996),136 min,8.0,91        ,"41,978",$13.42M
735,Mirror,(1975),107 min,8.1,80        ,"44,496",$0.18M
736,From Here to Eternity,(1953),118 min,7.6,85        ,"45,897",$30.50M
737,Throne of Blood,(1957),110 min,8.1,-,"50,603",-
738,Short Cuts,(1993),188 min,7.7,79        ,"44,139",$6.11M
739,The Salesman,(2016),124 min,7.7,85        ,"57,587",$2.40M
740,The Innocents,(1961),100 min,7.8,88        ,"29,500",$2.62M
741,High and Low,(1963),143 min,8.4,-,"41,282",-
742,Shadow of a Doubt,(1943),108 min,7.8,94        ,"63,662",-
743,Frankenstein,(1931),70 min,7.8,91        ,"70,120",-
744,Touch of Evil,(1958),95 min,8.0,99        ,"102,584",$2.24M
745,The African Queen,(1951),105 min,7.8,91        ,"76,972",$0.54M
746,Leviathan,(2014),140 min,7.6,92        ,"52,230",$1.09M
747,Yojimbo,(1961),110 min,8.2,93        ,"119,138",-
748,Fantasia,(1940),125 min,7.7,96        ,"93,367",$76.41M
749,The Double Life of Véronique,(1991),98 min,7.8,86        ,"46,694",$2.00M
