,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
81,The Hobbit: The Desolation of Smaug,(2013),161 min,7.8,66        ,"633,514",$258.37M
82,Whiplash,(2014),106 min,8.5,88        ,"785,916",$13.09M
83,Star Wars: Episode IV - A New Hope,(1977),121 min,8.6,90        ,"1,299,865",$322.74M
84,The Silence of the Lambs,(1991),118 min,8.6,85        ,"1,360,259",$130.74M
85,The Grand Budapest Hotel,(2014),99 min,8.1,88        ,"764,833",$59.10M
86,Dunkirk,(2017),106 min,7.8,94        ,"614,442",$188.37M
87,There Will Be Blood,(2007),158 min,8.2,93        ,"557,481",$40.22M
88,Apocalypse Now,(1979),147 min,8.4,94        ,"641,095",$83.47M
89,The Mitchells vs the Machines,(2021),113 min,7.7,81        ,"86,516",-
90,The Lord of the Rings: The Two Towers,(2002),179 min,8.7,87        ,"1,577,395",$342.55M
91,Deadpool 2,(2018),119 min,7.7,66        ,"537,324",$324.59M
92,Midnight in Paris,(2011),94 min,7.7,81        ,"409,615",$56.82M
93,The Green Mile,(1999),189 min,8.6,61        ,"1,230,852",$136.80M
94,Heat,(1995),170 min,8.2,76        ,"622,038",$67.44M
95,The Revenant,(2015),156 min,8.0,76        ,"762,055",$183.64M
96,The Godfather: Part II,(1974),202 min,9.0,90        ,"1,208,428",$57.30M
97,Jurassic Park,(1993),127 min,8.1,68        ,"927,907",$402.45M
98,Snatch,(2000),102 min,8.2,55        ,"825,031",$30.33M
99,Shutter Island,(2010),138 min,8.2,63        ,"1,228,765",$128.01M
100,The Dark Knight Rises,(2012),164 min,8.4,78        ,"1,609,946",$448.14M
101,Moana,(I) (2016),107 min,7.6,81        ,"308,877",$248.76M
102,Jojo Rabbit,(2019),108 min,7.9,58        ,"354,639",$0.35M
103,Silver Linings Playbook,(2012),122 min,7.7,81        ,"690,249",$132.09M
104,Another Round,(2020),117 min,7.8,79        ,"128,966",-
105,Die Hard,(1988),132 min,8.2,72        ,"846,115",$83.01M
106,Stand by Me,(1986),89 min,8.1,75        ,"386,284",$52.29M
107,Willy Wonka & the Chocolate Factory,(1971),100 min,7.8,67        ,"193,171",$4.00M
108,Memento,(2000),113 min,8.4,80        ,"1,188,999",$25.54M
109,Stardust,(2007),127 min,7.6,66        ,"266,464",$38.63M
110,12 Angry Men,(1957),96 min,9.0,96        ,"747,452",$4.36M
111,Batman Begins,(2005),140 min,8.2,70        ,"1,386,338",$206.85M
112,Hamilton,(2020),160 min,8.4,90        ,"81,132",-
113,Back to the Future,(1985),116 min,8.5,87        ,"1,138,086",$210.61M
114,Mad Max: Fury Road,(2015),120 min,8.1,90        ,"948,982",$154.06M
115,Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        ,"632,018",$389.81M
116,The Usual Suspects,(1995),106 min,8.5,77        ,"1,045,710",$23.34M
117,American Beauty,(1999),122 min,8.3,84        ,"1,119,013",$130.10M
118,Big Fish,(2003),125 min,8.0,58        ,"431,707",$66.26M
119,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,8.0,63        ,"1,059,444",$305.41M
120,Home Alone,(1990),103 min,7.6,63        ,"545,923",$285.76M
121,Inside Man,(2006),129 min,7.6,76        ,"360,444",$88.51M
122,Blade Runner,(1982),117 min,8.1,84        ,"736,980",$32.87M
123,My Cousin Vinny,(1992),120 min,7.6,68        ,"118,451",$52.93M
124,The Shining,(1980),146 min,8.4,66        ,"966,244",$44.02M
125,Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.8,80        ,"897,570",$936.66M
126,Terminator 2: Judgment Day,(1991),137 min,8.5,75        ,"1,051,761",$204.84M
127,Requiem for a Dream,(2000),102 min,8.3,68        ,"807,878",$3.64M
128,Scarface,(1983),170 min,8.3,65        ,"794,992",$45.60M
129,The Irishman,(2019),209 min,7.8,94        ,"362,508",$7.00M
130,Alien,(1979),117 min,8.4,89        ,"839,679",$78.90M
131,The Imitation Game,(2014),114 min,8.0,71        ,"733,812",$91.13M
132,The Princess Bride,(1987),98 min,8.1,77        ,"416,248",$30.86M
